板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
中小板,贵州航天电器股份有限公司,"Guizhou Space Appliance Co., Ltd.",002025,航天电器,2004-07-26,,,,C 制造业
中小板,山东威达机械股份有限公司,"SHANDONG WEIDA MACHINERY Co., Ltd.",002026,山东威达,2004-07-27,,,,C 制造业
中小板,分众传媒信息技术股份有限公司,"Focus Media Information Technology Co.,Ltd",002027,分众传媒,2004-08-04,,,,L 商务服务
中小板,思源电气股份有限公司,"Sieyuan Electric Co., Ltd.",002028,思源电气,2004-08-05,,,,C 制造业
中小板,福建七匹狼实业股份有限公司,"FUJIAN SEPTWOLVES INDUSTRY CO., LTD.",002029,七 匹 狼,2004-08-06,,,,C 制造业
中小板,中山大学达安基因股份有限公司,"DA AN GENE CO., LTD. OF SUN YAT-SEN UNIVERSITY",002030,达安基因,2004-08-09,,,,C 制造业
中小板,巨轮智能装备股份有限公司,GREATOO INTELLIGENT EQUIPMENT INC.,002031,巨轮智能,2004-08-16,,,,C 制造业
中小板,浙江苏泊尔股份有限公司,"ZHE JIANG SUPOR  Co., Ltd.",002032,苏 泊 尔,2004-08-17,,,,C 制造业
中小板,丽江玉龙旅游股份有限公司,"LiJiang YuLong Tourism Co.,Ltd.",002033,丽江股份,2004-08-25,,,,N 公共环保
中小板,旺能环境股份有限公司,"WANGNENG  ENVIRONMENT CO.,LTD.",002034,旺能环境,2004-08-26,,,,N 公共环保
中小板,华帝股份有限公司,VATTI CORPORATION LIMITED,002035,华帝股份,2004-09-01,,,,C 制造业
中小板,联创电子科技股份有限公司,"LianChuang Electronic Technology Co.,Ltd",002036,联创电子,2004-09-03,,,,C 制造业
中小板,保利联合化工控股集团股份有限公司,"Poly Union Chemical Holding Group Co.,Ltd.",002037,保利联合,2004-09-08,,,,C 制造业
中小板,北京双鹭药业股份有限公司,"Beijing SL Pharmaceutical Co., Ltd.",002038,双鹭药业,2004-09-09,,,,C 制造业
中小板,贵州黔源电力股份有限公司,"GuiZhou QianYuan Power Co., Ltd.",002039,黔源电力,2005-03-03,,,,D 水电煤气
中小板,南京港股份有限公司,"NANJING PORT Co., Ltd.",002040,南 京 港,2005-03-25,,,,G 运输仓储
中小板,山东登海种业股份有限公司,"Shandong Denghai Seeds Co., Ltd.",002041,登海种业,2005-04-18,,,,A 农林牧渔
中小板,华孚时尚股份有限公司,"HUAFU FASHION CO., LTD.",002042,华孚时尚,2005-04-27,,,,C 制造业
中小板,德华兔宝宝装饰新材股份有限公司,"DEHUA TB NEW DECORATION MATERIAL Co.,Ltd.",002043,兔 宝 宝,2005-05-10,,,,C 制造业
中小板,美年大健康产业控股股份有限公司,"Meinian Onehealth Healthcare Holdings Co., Ltd.",002044,美年健康,2005-05-18,,,,Q 卫生
中小板,国光电器股份有限公司,GUOGUANG ELECTRIC COMPANY LIMITED,002045,国光电器,2005-05-23,,,,C 制造业
中小板,洛阳轴研科技股份有限公司,"LUOYANG BEARING SCIENCE & TECHNOLOGY Co.,Ltd.",002046,轴研科技,2005-05-26,,,,C 制造业
中小板,深圳市宝鹰建设控股集团股份有限公司,"Shenzhen Bauing Construction Holding Group Co.,Ltd.",002047,宝鹰股份,2005-05-31,,,,E 建筑业
中小板,宁波华翔电子股份有限公司,"Ningbo Huaxiang Electronic Co.,Ltd.",002048,宁波华翔,2005-06-03,,,,C 制造业
中小板,紫光国芯微电子股份有限公司,"Unigroup Guoxin Microelectronics Co., Ltd.",002049,紫光国微,2005-06-06,,,,C 制造业
中小板,浙江三花智能控制股份有限公司,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",002050,三花智控,2005-06-07,,,,C 制造业
中小板,中工国际工程股份有限公司,"CHINA CAMC ENGINEERING CO., LTD.",002051,中工国际,2006-06-19,,,,E 建筑业
中小板,深圳市同洲电子股份有限公司,"SHENZHEN COSHIP ELECTRONICS CO.,LTD.",002052,*ST同洲,2006-06-27,,,,C 制造业
中小板,云南能源投资股份有限公司,"Yunnan Energy Investment CO.,LTD",002053,云南能投,2006-06-27,,,,C 制造业
中小板,广东德美精细化工集团股份有限公司,"DYMATIC CHEMICALS,INC.",002054,德美化工,2006-07-25,,,,C 制造业
中小板,深圳市得润电子股份有限公司,"ZHENZHEN DEREN ELECTRONIC CO.,LTD.",002055,得润电子,2006-07-25,,,,C 制造业
中小板,横店集团东磁股份有限公司,"Hengdian Group DMEGC Magnetics Co.,Ltd.",002056,横店东磁,2006-08-02,,,,C 制造业
中小板,中钢天源股份有限公司,"Sinosteel New Materials Co., Ltd.",002057,中钢天源,2006-08-02,,,,C 制造业
中小板,上海威尔泰工业自动化股份有限公司,"SHANGHAI WELLTECH AUTOMATION CO.,LTD.",002058,威 尔 泰,2006-08-02,,,,C 制造业
中小板,云南旅游股份有限公司,"Yunnan Tourism Co., Ltd.",002059,云南旅游,2006-08-10,,,,N 公共环保
中小板,广东水电二局股份有限公司,"Guangdong No.2 Hydropower Engineering Company,Ltd",002060,粤 水 电,2006-08-10,,,,E 建筑业
中小板,浙江交通科技股份有限公司,"Zhejiang Communications Technology Co.,Ltd.",002061,浙江交科,2006-08-16,,,,E 建筑业
中小板,宏润建设集团股份有限公司,"HONGRUN CONSTRUCTION GROUP CO.,LTD.",002062,宏润建设,2006-08-16,,,,E 建筑业
中小板,远光软件股份有限公司,YGSOFT INC.,002063,远光软件,2006-08-23,,,,I 信息技术
中小板,浙江华峰氨纶股份有限公司,Zhejiang Huafeng Spandex Co.，Ltd.,002064,华峰氨纶,2006-08-23,,,,C 制造业
中小板,东华软件股份公司,"DHC SOFTWARE CO.,LTD",002065,东华软件,2006-08-23,,,,I 信息技术
中小板,瑞泰科技股份有限公司,"Ruitai Materials Technology Co., Ltd.",002066,瑞泰科技,2006-08-23,,,,C 制造业
中小板,浙江景兴纸业股份有限公司,"Zhejiang Jingxing Paper Joint Stock Co.,Ltd.",002067,景兴纸业,2006-09-15,,,,C 制造业
中小板,江西黑猫炭黑股份有限公司,"JIANGXI BLACK CAT CARBON BLACK CO., LTD.",002068,黑猫股份,2006-09-15,,,,C 制造业
中小板,獐子岛集团股份有限公司,"ZHANGZIDAO GROUP CO.,LTD.",002069,獐子岛,2006-09-28,,,,A 农林牧渔
中小板,长城影视股份有限公司,"Great Wall Movie and Television Co.,Ltd.",002071,*ST长城,2006-10-12,,,,R 文化传播
中小板,凯瑞德控股股份有限公司,"KAIRUIDE HOLDING CO.,LTD.",002072,ST凯瑞,2006-10-18,,,,I 信息技术
中小板,软控股份有限公司,"MESNAC  CO.,LTD",002073,软控股份,2006-10-18,,,,C 制造业
中小板,国轩高科股份有限公司,"Gotion High-tech CO.,Ltd.",002074,国轩高科,2006-10-18,,,,C 制造业
中小板,江苏沙钢股份有限公司,"JIANGSU SHAGANG CO.,LTD.",002075,沙钢股份,2006-10-25,,,,C 制造业
中小板,广东雪莱特光电科技股份有限公司,"CNLIGHT   CO.,  LTD.",002076,*ST雪莱,2006-10-25,,,,C 制造业
中小板,江苏大港股份有限公司,"JIANGSU DAGANG CO.,LTD．",002077,*ST大港,2006-11-16,,,,K 房地产
中小板,山东太阳纸业股份有限公司,"SHANDONG SUN PAPER CO., LTD.",002078,太阳纸业,2006-11-16,,,,C 制造业
中小板,苏州固锝电子股份有限公司,"SUZHOU GOOD-ARK ELECTRONICS CO., LTD.",002079,苏州固锝,2006-11-16,,,,C 制造业
中小板,中材科技股份有限公司,"Sinoma Science & Technology Co.,Ltd.",002080,中材科技,2006-11-20,,,,C 制造业
中小板,苏州金螳螂建筑装饰股份有限公司,"Suzhou Gold Mantis Construction Decoration Co., Ltd.",002081,金 螳 螂,2006-11-20,,,,E 建筑业
中小板,万邦德医药控股集团股份有限公司,"WANBANGDE PHARMACEUTICAL HOLDING GROUP CO.,LTD.",002082,万邦德,2006-11-20,,,,C 制造业
中小板,孚日集团股份有限公司,"SUNVIM GROUP CO., LTD",002083,孚日股份,2006-11-24,,,,C 制造业
中小板,广州海鸥住宅工业股份有限公司,"GuangZhou Seagull Kitchen And Bath Products Co.,Ltd.",002084,海鸥住工,2006-11-24,,,,C 制造业
中小板,浙江万丰奥威汽轮股份有限公司,"ZHEJIANG WANFENG AUTO WHEEL CO., LTD.",002085,万丰奥威,2006-11-28,,,,C 制造业
中小板,山东东方海洋科技股份有限公司,"Shandong Oriental Ocean Sci-Tech Co., Ltd",002086,*ST东洋,2006-11-28,,,,A 农林牧渔
中小板,河南新野纺织股份有限公司,"HENNAN XINYE TEXTLE CO.,LTD.",002087,新野纺织,2006-11-30,,,,C 制造业
中小板,山东鲁阳节能材料股份有限公司,"LUYANG ENERGY-SAVING MATERIALS CO.,LTD.",002088,鲁阳节能,2006-11-30,,,,C 制造业
中小板,新海宜科技集团股份有限公司,SUZHOU NEW SEA UNION TELECOM TECHNOLOGY CO.， LTD.,002089,*ST新海,2006-11-30,,,,C 制造业
中小板,江苏金智科技股份有限公司,"Wiscom System Co., Ltd.",002090,金智科技,2006-12-08,,,,C 制造业
中小板,江苏国泰国际集团股份有限公司,JIANGSU GUOTAI INTERNATIONAL GROUP CO. LTD.,002091,江苏国泰,2006-12-08,,,,F 批发零售
中小板,新疆中泰化学股份有限公司,"XINJIANG ZHONGTAI CHEMICAL CO.,LTD.",002092,中泰化学,2006-12-08,,,,C 制造业
中小板,国脉科技股份有限公司,"Guomai Technologies, Inc",002093,国脉科技,2006-12-15,,,,I 信息技术
中小板,青岛金王应用化学股份有限公司,"Qingdao Kingking Applied Chemistry Co.,Ltd.",002094,青岛金王,2006-12-15,,,,C 制造业
中小板,浙江网盛生意宝股份有限公司,"Zhejiang NetSun Co.,Ltd.",002095,生 意 宝,2006-12-15,,,,I 信息技术
中小板,湖南南岭民用爆破器材股份有限公司,"Hunan Nanling Industrial Explosive Materials Co., Ltd.",002096,南岭民爆,2006-12-22,,,,C 制造业
中小板,山河智能装备股份有限公司,"SUNWARD INTELLIGENT EQUIPMENT CO.,LTD.",002097,山河智能,2006-12-22,,,,C 制造业
中小板,福建浔兴拉链科技股份有限公司,"FUJIAN SBS ZIPPER SCIENCE&TECHNOLOGY CO.,LTD.",002098,浔兴股份,2006-12-22,,,,C 制造业
中小板,浙江海翔药业股份有限公司,"Zhejiang Hisoar Pharmaceutical Co.,Ltd.",002099,海翔药业,2006-12-26,,,,C 制造业
中小板,天康生物股份有限公司,TECON BIOLOGY Co.LTD,002100,天康生物,2006-12-26,,,,C 制造业
中小板,广东鸿图科技股份有限公司,"Guangdong Hongtu Technology(holdings)Co.,Ltd.",002101,广东鸿图,2006-12-29,,,,C 制造业
中小板,冠福控股股份有限公司,"Guanfu Holdings CO.,Ltd.",002102,ST冠福,2006-12-29,,,,C 制造业
中小板,广博集团股份有限公司,"GUANGBO GROUP STOCK CO.,LTD.",002103,广博股份,2007-01-10,,,,L 商务服务
中小板,恒宝股份有限公司,"HENGBAO CO.,LTD.",002104,恒宝股份,2007-01-10,,,,C 制造业
中小板,深圳信隆健康产业发展股份有限公司,HL CORP (SHENZHEN),002105,信隆健康,2007-01-12,,,,C 制造业
中小板,深圳莱宝高科技股份有限公司,"SHENZHEN LAIBAO HI-TECH CO., LTD.",002106,莱宝高科,2007-01-12,,,,C 制造业
中小板,山东沃华医药科技股份有限公司,"Shandong Wohua Pharmaceutical Co., Ltd.",002107,沃华医药,2007-01-24,,,,C 制造业
中小板,沧州明珠塑料股份有限公司,"Cangzhou Mingzhu Plastic Co.,Ltd.",002108,沧州明珠,2007-01-24,,,,C 制造业
中小板,陕西兴化化学股份有限公司,"SHAANXI XINGHUA CHEMISTRY CO., LTD",002109,兴化股份,2007-01-26,,,,C 制造业
中小板,福建三钢闽光股份有限公司,"Sansteel MinGuang Co.,Ltd.,Fujian",002110,三钢闽光,2007-01-26,,,,C 制造业
中小板,威海广泰空港设备股份有限公司,"Weihai Guangtai Airport Equipment Co., Ltd",002111,威海广泰,2007-01-26,,,,C 制造业
中小板,三变科技股份有限公司,"SAN BIAN SCI－TECH Co.,LTD.",002112,三变科技,2007-02-08,,,,C 制造业
中小板,湖南天润数字娱乐文化传媒股份有限公司,"Hunan Tianrun Digital Entertainment &Cultural Media Co.,Ltd.",002113,*ST天润,2007-02-08,,,,I 信息技术
中小板,云南罗平锌电股份有限公司,"YUNNAN LUOPING ZINC AND ELECTRICITY Co., LTD",002114,罗平锌电,2007-02-15,,,,C 制造业
中小板,三维通信股份有限公司,"SUNWAVE COMMUNICATIONS CO.,LTD.",002115,三维通信,2007-02-15,,,,C 制造业
中小板,中国海诚工程科技股份有限公司,"CHINA HAISUM ENGINEERING CO.,LTD.",002116,中国海诚,2007-02-15,,,,E 建筑业
中小板,东港股份有限公司,TUNGKONG  INC.,002117,东港股份,2007-03-02,,,,C 制造业
中小板,吉林紫鑫药业股份有限公司,"Jilin Zixin Pharmaceutical Industrial Co., Ltd.",002118,紫鑫药业,2007-03-02,,,,C 制造业
中小板,宁波康强电子股份有限公司,"Ningbo Kangqiang Electronics Co., Ltd.",002119,康强电子,2007-03-02,,,,C 制造业
中小板,韵达控股股份有限公司,"YUNDA Holding CO., Ltd.",002120,韵达股份,2007-03-06,,,,G 运输仓储
中小板,深圳市科陆电子科技股份有限公司,"SHENZHEN CLOU ELECTRONICS CO.,LTD.",002121,*ST科陆,2007-03-06,,,,C 制造业
中小板,天马轴承集团股份有限公司,"TIANMA BEARING GROUP CO., LTD.",002122,*ST天马,2007-03-28,,,,C 制造业
中小板,梦网荣信科技集团股份有限公司,"MONTNETS RONGXIN TECHNOLOGY GROUP CO.,LTD",002123,梦网集团,2007-03-28,,,,I 信息技术
中小板,天邦食品股份有限公司,"Tech-bank Food Co.,Ltd.",002124,天邦股份,2007-04-03,,,,C 制造业
中小板,湘潭电化科技股份有限公司,"XIANGTAN ELECTROCHEMICAL SCIENTIFIC CO.,LTD.",002125,湘潭电化,2007-04-03,,,,C 制造业
中小板,浙江银轮机械股份有限公司,"Zhejiang Yinlun Machinery Co., LTD.",002126,银轮股份,2007-04-18,,,,C 制造业
中小板,南极电商股份有限公司,"NanJi E-Commerce Co., LTD",002127,南极电商,2007-04-18,,,,L 商务服务
中小板,内蒙古霍林河露天煤业股份有限公司,HUOLINHE OPENCUT COAL INDUSTRY CORPORATION LIMITED OF  INNER  MONGOLIA,002128,露天煤业,2007-04-18,,,,B 采矿业
中小板,天津中环半导体股份有限公司,"TIANJIN  ZHONGHUAN  SEMICONDUCTOR  CO., LTD.",002129,中环股份,2007-04-20,,,,C 制造业
中小板,深圳市沃尔核材股份有限公司,"SHENZHEN WOER HEAT-SHRINKABLE MATERIAL CO.,LTD",002130,沃尔核材,2007-04-20,,,,C 制造业
中小板,利欧集团股份有限公司,"LEO GROUP CO.,LTD.",002131,利欧股份,2007-04-27,,,,I 信息技术
中小板,河南恒星科技股份有限公司,"Henan  Hengxing  Science & Technology  CO.,LTD.",002132,恒星科技,2007-04-27,,,,C 制造业
中小板,广宇集团股份有限公司,"Cosmos Group Co.,Ltd.",002133,广宇集团,2007-04-27,,,,K 房地产
中小板,天津普林电路股份有限公司,TIANJIN PRINTRONICS CIRCUIT CORPORATION,002134,天津普林,2007-05-16,,,,C 制造业
中小板,浙江东南网架股份有限公司,"Zhejiang Southeast Space Frame Co., Ltd.",002135,东南网架,2007-05-30,,,,C 制造业
中小板,安徽安纳达钛业股份有限公司,"ANHUI ANNADA TITANIUM INDUSTRY CO.,LTD.",002136,安 纳 达,2007-05-30,,,,C 制造业
中小板,深圳市麦达数字股份有限公司,"SHEN ZHEN MINDATA HOLDING CO., LTD",002137,麦达数字,2007-06-13,,,,C 制造业
中小板,深圳顺络电子股份有限公司,"Shenzhen Sunlord Electronics Co.,Ltd.",002138,顺络电子,2007-06-13,,,,C 制造业
中小板,深圳拓邦股份有限公司,"SHENZHEN TOPBAND CO., LTD.",002139,拓邦股份,2007-06-29,,,,C 制造业
中小板,东华工程科技股份有限公司,East China Engineering Science and Technology Co.，Ltd.,002140,东华科技,2007-07-12,,,,E 建筑业
中小板,贤丰控股股份有限公司,INFUND HOLDING CO.，LTD,002141,贤丰控股,2007-07-20,,,,C 制造业
中小板,宁波银行股份有限公司,"BANK OF NINGBO CO., LTD",002142,宁波银行,2007-07-19,,,,J 金融业
中小板,宏达高科控股股份有限公司,"Hongda High-Tech Holding Co.,Ltd.",002144,宏达高科,2007-08-03,,,,C 制造业
中小板,中核华原钛白股份有限公司,"CNNC HUA YUAN TITANIUM DIOXIDE CO.,LTD",002145,中核钛白,2007-08-03,,,,C 制造业
中小板,荣盛房地产发展股份有限公司,"RiseSun Real Estate Development Co.,Ltd.",002146,荣盛发展,2007-08-08,,,,K 房地产
中小板,新光圆成股份有限公司,Neoglory prosperity Inc.,002147,*ST新光,2007-08-08,,,,K 房地产
中小板,北京北纬通信科技股份有限公司,"BEIJING BEWINNER COMMUNICATIONS CO., LTD.",002148,北纬科技,2007-08-10,,,,I 信息技术
中小板,西部金属材料股份有限公司,WESTERN METAL MATERIALS CO.， LTD,002149,西部材料,2007-08-10,,,,C 制造业
中小板,江苏通润装备科技股份有限公司,"JIANGSU TONGRUN EQUIPMENT TECHNOLOGY CO.,LTD.",002150,通润装备,2007-08-10,,,,C 制造业
中小板,北京北斗星通导航技术股份有限公司,"Beijing BDStar Navigation Co.,Ltd.",002151,北斗星通,2007-08-13,,,,C 制造业
中小板,广州广电运通金融电子股份有限公司,"GRG Banking Equipment Co., Ltd.",002152,广电运通,2007-08-13,,,,C 制造业
中小板,北京中长石基信息技术股份有限公司,"Beijing Shiji Information Technology Co., Ltd.",002153,石基信息,2007-08-13,,,,I 信息技术
中小板,报喜鸟控股股份有限公司,"BAOXINIAO HOLDING CO.,LTD.",002154,报 喜 鸟,2007-08-16,,,,C 制造业
中小板,湖南黄金股份有限公司,Hunan Gold Corporation Limited,002155,湖南黄金,2007-08-16,,,,B 采矿业
中小板,通富微电子股份有限公司,"TongFu Microelectronics Co.,Ltd.",002156,通富微电,2007-08-16,,,,C 制造业
中小板,江西正邦科技股份有限公司,"JIANGXI ZHENGBANG TECHNOLOGY CO.,LTD.",002157,正邦科技,2007-08-17,,,,C 制造业
中小板,上海汉钟精机股份有限公司,"SHANGHAI HANBELL PRECISE MACHINERY CO.,LTD.",002158,汉钟精机,2007-08-17,,,,C 制造业
中小板,武汉三特索道集团股份有限公司,"Wuhan Sante Cableways Group Co.,Ltd.",002159,三特索道,2007-08-17,,,,N 公共环保
中小板,江苏常铝铝业集团股份有限公司,JIANGSU ALCHA ALUMINIUM GROUP CO.， LTD.,002160,常铝股份,2007-08-21,,,,C 制造业
中小板,深圳市远望谷信息技术股份有限公司,"Invengo Information Technology Co., Ltd",002161,远 望 谷,2007-08-21,,,,C 制造业
中小板,上海悦心健康集团股份有限公司,"SHANGHAI  EVERJOY  HEALTH  GROUP  CO., LTD.",002162,悦心健康,2007-08-23,,,,C 制造业
中小板,海控南海发展股份有限公司,"Hainan Development Holdings Nanhai  Co., Ltd.",002163,海南发展,2007-08-23,,,,E 建筑业
中小板,宁波东力股份有限公司,"Ningbo Donly Co.,LTD",002164,宁波东力,2007-08-23,,,,C 制造业
中小板,红宝丽集团股份有限公司,HONGBAOLI  GROUP  CORPORATION，LTD.,002165,红 宝 丽,2007-09-13,,,,C 制造业
中小板,桂林莱茵生物科技股份有限公司,Guilin Layn Natural Ingredients Corp.,002166,莱茵生物,2007-09-13,,,,C 制造业
中小板,广东东方锆业科技股份有限公司,"GUANGDONG ORIENT ZIRCONIC IND SCI & TECH CO.,LTD.",002167,东方锆业,2007-09-13,,,,C 制造业
中小板,深圳市惠程信息科技股份有限公司,"Shenzhen Hifuture Information Technology Co., Ltd.",002168,惠程科技,2007-09-19,,,,I 信息技术
中小板,广州智光电气股份有限公司,"GUANGZHOU ZHIGUANG ELECTRIC CO.,LTD.",002169,智光电气,2007-09-19,,,,C 制造业
中小板,深圳市芭田生态工程股份有限公司,"SHENZHEN BATIAN ECOTYPIC ENGINEERING CO., LTD.",002170,芭田股份,2007-09-19,,,,C 制造业
中小板,安徽楚江科技新材料股份有限公司,"Anhui Truchum Advanced Materials and Technology Co.,Ltd.",002171,楚江新材,2007-09-21,,,,C 制造业
中小板,江苏澳洋健康产业股份有限公司,Jiangsu Aoyang Health Industry Co.ltd.,002172,澳洋健康,2007-09-21,,,,C 制造业
中小板,创新医疗管理股份有限公司,"Innovative Medical Management Co.,Ltd.",002173,创新医疗,2007-09-25,,,,Q 卫生
中小板,游族网络股份有限公司,"YOUZU Interactive CO., LTD.",002174,游族网络,2007-09-25,,,,I 信息技术
中小板,东方时代网络传媒股份有限公司,Oriental Times Media Corporation,002175,*ST东网,2007-10-12,,,,C 制造业
中小板,江西特种电机股份有限公司,"JIANGXI  SPECIAL  ELECTRIC  MOTOR  CO.,LTD",002176,*ST江特,2007-10-12,,,,C 制造业
中小板,广州御银科技股份有限公司,"Guangzhou KingTeller Technology Co., Ltd.",002177,御银股份,2007-11-01,,,,C 制造业
中小板,上海延华智能科技(集团)股份有限公司,SHANGHAI YANHUA SMARTECH  GROUP CO.，LTD.,002178,延华智能,2007-11-01,,,,M 科研服务
中小板,中航光电科技股份有限公司,"AVIC Jonhon Optronic Technology Co.,Ltd.",002179,中航光电,2007-11-01,,,,C 制造业
中小板,纳思达股份有限公司,Ninestar Corporation,002180,纳思达,2007-11-13,,,,C 制造业
中小板,广东广州日报传媒股份有限公司,"Guangdong Guangzhou Daily Media Co.,Ltd.",002181,粤 传 媒,2007-11-16,,,,L 商务服务
中小板,南京云海特种金属股份有限公司,"NANJING YUNHAI SPECIAL METALS CO., LTD.",002182,云海金属,2007-11-13,,,,C 制造业
中小板,深圳市怡亚通供应链股份有限公司,Eternal Asia Supply Chain Management Ltd.,002183,怡 亚 通,2007-11-13,,,,L 商务服务
中小板,上海海得控制系统股份有限公司,Shanghai Hi-tech Control System Co.，Ltd,002184,海得控制,2007-11-16,,,,C 制造业
中小板,天水华天科技股份有限公司,"Tianshui Huatian Technology Co.,Ltd.",002185,华天科技,2007-11-20,,,,C 制造业
中小板,中国全聚德(集团)股份有限公司,"CHINA QUANJUDE(GROUP) CO.,LTD",002186,全 聚 德,2007-11-20,,,,H 住宿餐饮
中小板,广州市广百股份有限公司,"Guangzhou Grandbuy Co., Ltd.",002187,广百股份,2007-11-22,,,,F 批发零售
中小板,巴士在线股份有限公司,"BUS ONLINE CO., LTD.",002188,ST巴士,2007-11-22,,,,L 商务服务
中小板,中光学集团股份有限公司,"Costar Group Co., Ltd.",002189,中光学,2007-12-03,,,,C 制造业
中小板,四川成飞集成科技股份有限公司,SICHUAN CHENGFEI INTEGRATION TECHNOLOGY CORP.LTD,002190,成飞集成,2007-12-03,,,,C 制造业
中小板,深圳劲嘉集团股份有限公司,"SHENZHEN JINJIA GROUP CO.,LTD.",002191,劲嘉股份,2007-12-05,,,,C 制造业
中小板,融捷股份有限公司,"YOUNGY Co.,Ltd.",002192,*ST融捷,2007-12-05,,,,C 制造业
中小板,山东如意毛纺服装集团股份有限公司,"Shandong Ruyi Woolen Garment Group Co., Ltd.",002193,如意集团,2007-12-07,,,,C 制造业
中小板,武汉凡谷电子技术股份有限公司,"Wuhan Fingu Electronic Technology Co., LTD.",002194,武汉凡谷,2007-12-07,,,,C 制造业
中小板,上海二三四五网络控股集团股份有限公司,"Shanghai 2345 Network Holding Group Co., Ltd.",002195,二三四五,2007-12-12,,,,I 信息技术
中小板,浙江方正电机股份有限公司,"ZHEJIANG FOUNDER MOTOR CO.,LTD.",002196,方正电机,2007-12-12,,,,C 制造业
中小板,深圳市证通电子股份有限公司,"SZZT Electronics  CO., LTD.",002197,证通电子,2007-12-18,,,,C 制造业
中小板,广东嘉应制药股份有限公司,"GUANGDONG JIAYING PHARMACEUTICAL CO., LTD.",002198,嘉应制药,2007-12-18,,,,C 制造业
中小板,浙江东晶电子股份有限公司,"ZHEJIANG EAST CRYSTAL ELECTRONIC CO., LTD",002199,东晶电子,2007-12-21,,,,C 制造业
中小板,云南云投生态环境科技股份有限公司,"Yunnan Yuntou Ecology and Environment Technology Co., Ltd.",002200,ST云投,2007-12-21,,,,A 农林牧渔
中小板,江苏九鼎新材料股份有限公司,"Jiangsu Jiuding New Material Co., Ltd",002201,九鼎新材,2007-12-26,,,,C 制造业
中小板,新疆金风科技股份有限公司,"XINJIANG GOLDWIND SCIENCE&TECHNOLOGY CO.,LTD",002202,金风科技,2007-12-26,,,,C 制造业
中小板,浙江海亮股份有限公司,"ZHEJIANG HAILIANG Co.,Ltd.",002203,海亮股份,2008-01-16,,,,C 制造业
中小板,大连华锐重工集团股份有限公司,"Dalian Huarui Heavy Industry Group Co.,LTD.",002204,大连重工,2008-01-16,,,,C 制造业
中小板,新疆国统管道股份有限公司,"XINJIANG GUOTONG PIPELINE CO.,LTD",002205,国统股份,2008-01-23,,,,C 制造业
中小板,浙江海利得新材料股份有限公司,"Zhejiang Hailide New Material CO.,Ltd.",002206,海 利 得,2008-01-23,,,,C 制造业
中小板,新疆准东石油技术股份有限公司,"Xinjiang Zhundong Petroleum Technology Co., Ltd.",002207,准油股份,2008-01-28,,,,B 采矿业
中小板,合肥城建发展股份有限公司,"Hefei  Urban  Construction  Development  Co.,LTD",002208,合肥城建,2008-01-28,,,,K 房地产
中小板,广州达意隆包装机械股份有限公司,"GUANGZHOU TECH-LONG PACKAGING MACHINERY CO., LTD.",002209,达 意 隆,2008-01-30,,,,C 制造业
中小板,深圳市飞马国际供应链股份有限公司,"Shenzhen FeiMa International Supply Chain Co.,Ltd",002210,*ST飞马,2008-01-30,,,,L 商务服务
中小板,上海宏达新材料股份有限公司,Shanghai Hongda New Material Co.，LTD.,002211,宏达新材,2008-02-01,,,,C 制造业
中小板,南洋天融信科技集团股份有限公司,Nanyang Topsec Technologies Group Inc.,002212,南洋股份,2008-02-01,,,,C 制造业
中小板,深圳市特尔佳科技股份有限公司,"Shenzhen Terca Technology Co., LTD.",002213,特 尔 佳,2008-02-01,,,,C 制造业
中小板,浙江大立科技股份有限公司,Zhejiang Dali Technology CO.，LTD,002214,大立科技,2008-02-18,,,,C 制造业
中小板,深圳诺普信农化股份有限公司,"SHENZHEN NOPOSION AGROCHEMICALS CO.,LTD.",002215,诺 普 信,2008-02-18,,,,C 制造业
中小板,三全食品股份有限公司,"SANQUAN FOOD CO.,LTD",002216,三全食品,2008-02-20,,,,C 制造业
中小板,合力泰科技股份有限公司,"Holitech Technology Co., Ltd.",002217,合力泰,2008-02-20,,,,C 制造业
中小板,深圳市拓日新能源科技股份有限公司,"SHENZHEN TOPRAYSOLAR CO., LTD.",002218,拓日新能,2008-02-28,,,,C 制造业
中小板,恒康医疗集团股份有限公司,"Hengkang medical Group Co.,LTD.",002219,*ST恒康,2008-03-06,,,,C 制造业
中小板,大连天宝绿色食品股份有限公司,"Dalian Tianbao Green Foods Co., Ltd.",002220,天宝退,2008-02-28,,,,C 制造业
中小板,东华能源股份有限公司,"ORIENTAL ENERGY CO., LTD.",002221,东华能源,2008-03-06,,,,F 批发零售
中小板,福建福晶科技股份有限公司,CASTECH  Inc.,002222,福晶科技,2008-03-19,,,,C 制造业
中小板,江苏鱼跃医疗设备股份有限公司,"JIANGSU YUYUE MEDICAL EQUIPMENT & SUPPLY CO., LTD.",002223,鱼跃医疗,2008-04-18,,,,C 制造业
中小板,三力士股份有限公司,"Sanlux Co.,Ltd.",002224,三 力 士,2008-04-25,,,,C 制造业
中小板,濮阳濮耐高温材料（集团）股份有限公司,"Puyang Refractories Group Co., Ltd",002225,濮耐股份,2008-04-25,,,,C 制造业
中小板,安徽江南化工股份有限公司,"ANHUI JIANGNAN CHEMICAL INDUSTRY CO.,LTD.",002226,江南化工,2008-05-06,,,,C 制造业
