板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
主板,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",000058,深 赛 格,1996-12-26,200058,深赛格B,1996-07-22,L 商务服务
主板,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",000059,华锦股份,1997-01-30,,,,C 制造业
主板,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",000060,中金岭南,1997-01-23,,,,C 制造业
主板,深圳市农产品集团股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS GROUP CO., LTD",000061,农 产 品,1997-01-10,,,,L 商务服务
主板,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD",000062,深圳华强,1997-01-30,,,,F 批发零售
主板,中兴通讯股份有限公司,ZTE CORPORATION,000063,中兴通讯,1997-11-18,,,,C 制造业
主板,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,000065,北方国际,1998-06-05,,,,E 建筑业
主板,中国长城科技集团股份有限公司,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",000066,中国长城,1997-06-26,,,,C 制造业
主板,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD.",000068,华控赛格,1997-06-11,,,,M 科研服务
主板,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD",000069,华侨城Ａ,1997-09-10,,,,K 房地产
主板,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD",000070,特发信息,2000-05-11,,,,C 制造业
主板,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING  CO.,LTD",000078,海王生物,1998-12-18,,,,F 批发零售
主板,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",000088,盐 田 港,1997-07-28,,,,G 运输仓储
主板,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD",000089,深圳机场,1998-04-20,,,,G 运输仓储
主板,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD.",000090,天健集团,1999-07-21,,,,E 建筑业
主板,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD",000096,广聚能源,2000-07-24,,,,F 批发零售
主板,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD",000099,中信海直,2000-07-31,,,,G 运输仓储
主板,TCL科技集团股份有限公司,TCL Technology Group Corporation,000100,TCL科技,2004-01-30,,,,C 制造业
主板,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co., Ltd.",000150,宜华健康,2000-08-07,,,,Q 卫生
主板,中成进出口股份有限公司,CHINA NATIONAL COMPLETE PLANT IMPORT  &  EXPORT CORPORATION LIMITED,000151,中成股份,2000-09-06,,,,F 批发零售
主板,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD",000153,丰原药业,2000-09-20,,,,C 制造业
主板,四川省新能源动力股份有限公司,SICHUAN NEW ENERGY POWER COMPANY LIMITED,000155,川能动力,2000-09-26,,,,D 水电煤气
主板,华数传媒控股股份有限公司,"Wasu Media Holding Co.,Ltd",000156,华数传媒,2000-09-06,,,,R 文化传播
主板,中联重科股份有限公司,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD",000157,中联重科,2000-10-12,,,,C 制造业
主板,石家庄常山北明科技股份有限公司,SHIJIAZHUANG CHANGSHAN BEIMING TECHNOLOGY CO.，LTD,000158,常山北明,2000-07-24,,,,I 信息技术
主板,新疆国际实业股份有限公司,"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD",000159,国际实业,2000-09-26,,,,F 批发零售
主板,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co.,Ltd",000166,申万宏源,2015-01-26,,,,J 金融业
